model,alpha,beta,alpha_plus_beta
Model1,0.08491196814817571,0.9081255856954418,0.9930375538436175
Model2,0.08481806651687493,0.9081622818051752,0.9929803483220502
Model3,0.07790011542181734,0.9167468846203515,0.9946470000421688
Model4,0.07824830244073767,0.9175642319330781,0.9958125343738158
Model5,0.07727287359501123,0.9171597265793371,0.9944326001743483
