model,model_label,AIC,BIC,LogLik,alpha_beta,GPR_custom_gamma
Model3_eventD,VIX + Fear&Greed + 이벤트 더미,9463.151723853582,9529.058160365006,-4719.575861926791,0.9848839859283837,
Model5_eventD,커스텀 GPR + 시장심리 + 이벤트 더미,9464.875307315704,9536.273946869747,-4719.437653657852,0.9847929244435625,0.03500418176671646
Model3,VIX + Fear&Greed,9469.78576460849,9508.231185906821,-4727.892882304245,0.9946470000421688,
Model5,커스텀 GPR + 시장심리,9471.506463671818,9515.444088012768,-4727.753231835909,0.9944326001743483,0.03994491780004173
