event,model,mean_volatility,max_volatility
hormuz_crisis,Model1_clip,6.076288326661857,8.659058741791283
hormuz_crisis,Model2_clip,6.092058935534352,8.670427995670513
hormuz_crisis,Model3_clip,6.165679214451635,8.642627053470987
hormuz_crisis,Model4_clip,6.187342648147749,8.67664470011366
hormuz_crisis,Model5_clip,6.189799964183298,8.651831187236654
hormuz_crisis,Model1_strict,6.076283985405949,8.659052306205623
hormuz_crisis,Model2_strict,6.092058935534352,8.670427995670513
hormuz_crisis,Model3_strict,6.165679214451635,8.642627053470987
hormuz_crisis,Model4_strict,6.187342648147749,8.67664470011366
hormuz_crisis,Model5_strict,6.189798470212111,8.651829352309404
hormuz_crisis,Model3_eventD_eventD,5.509720453932535,7.844974364564033
hormuz_crisis,Model5_eventD_eventD,5.526497140171413,7.837986609606563
soleimani_assassination,Model1_clip,3.9755819983770646,4.501870155731407
soleimani_assassination,Model2_clip,4.002111266451269,4.577073204074438
soleimani_assassination,Model3_clip,3.82529169346477,4.346686909990291
soleimani_assassination,Model4_clip,3.811919631942045,4.349721410886721
soleimani_assassination,Model5_clip,3.8770442806139656,4.452569475260803
soleimani_assassination,Model1_strict,3.9755799824595135,4.501867703043018
soleimani_assassination,Model2_strict,4.002111266451269,4.577073204074438
soleimani_assassination,Model3_strict,3.82529169346477,4.346686909990291
soleimani_assassination,Model4_strict,3.811919631942045,4.349721410886721
soleimani_assassination,Model5_strict,3.877044175042264,4.452569775096829
soleimani_assassination,Model3_eventD_eventD,4.120425406984759,4.538294699658537
soleimani_assassination,Model5_eventD_eventD,4.169300711392932,4.630640128545962
russia_ukraine_war,Model1_clip,4.484872585931934,5.268650505684266
russia_ukraine_war,Model2_clip,4.545224491435645,5.380255109882981
russia_ukraine_war,Model3_clip,4.34064805465807,5.148311813098272
russia_ukraine_war,Model4_clip,4.3971997916469965,5.233877601009699
russia_ukraine_war,Model5_clip,4.376269080361166,5.2368220940237915
russia_ukraine_war,Model1_strict,4.484870448265744,5.2686477808061145
russia_ukraine_war,Model2_strict,4.545224491435645,5.380255109882981
russia_ukraine_war,Model3_strict,4.34064805465807,5.148311813098272
russia_ukraine_war,Model4_strict,4.3971997916469965,5.233877601009699
russia_ukraine_war,Model5_strict,4.3762663751176545,5.236819568769985
russia_ukraine_war,Model3_eventD_eventD,4.672725707746014,5.221199726640304
russia_ukraine_war,Model5_eventD_eventD,4.700665573451985,5.29345671410012
israel_hamas_war,Model1_clip,3.140664930748954,4.312997241436411
israel_hamas_war,Model2_clip,3.154770067843971,4.386392399281117
israel_hamas_war,Model3_clip,3.1375507846842314,4.239200671109395
israel_hamas_war,Model4_clip,3.1489932304637263,4.2807534355016275
israel_hamas_war,Model5_clip,3.1532681083014755,4.310574554387467
israel_hamas_war,Model1_strict,3.140664586332735,4.31299587690261
israel_hamas_war,Model2_strict,3.154770067843971,4.386392399281117
israel_hamas_war,Model3_strict,3.1375507846842314,4.239200671109395
israel_hamas_war,Model4_strict,3.1489932304637263,4.2807534355016275
israel_hamas_war,Model5_strict,3.1532676699533115,4.310574206733853
israel_hamas_war,Model3_eventD_eventD,2.853528000847522,3.7797669937930816
israel_hamas_war,Model5_eventD_eventD,2.868899520877167,3.8426382029891544
israel_iran,Model1_clip,4.652270299562392,5.631657193337039
israel_iran,Model2_clip,4.6776963992299665,5.638399628444396
israel_iran,Model3_clip,4.929833810589169,5.8056383937914
israel_iran,Model4_clip,4.978396845320842,5.846496816740563
israel_iran,Model5_clip,4.962467356267712,5.814479471392263
israel_iran,Model1_strict,4.652267591970419,5.631653716543437
israel_iran,Model2_strict,4.6776963992299665,5.638399628444396
israel_iran,Model3_strict,4.929833810589169,5.8056383937914
israel_iran,Model4_strict,4.978396845320842,5.846496816740563
israel_iran,Model5_strict,4.962466619232454,5.814478602387114
israel_iran,Model3_eventD_eventD,5.097056146312376,5.826800662794986
israel_iran,Model5_eventD_eventD,5.1290994927356035,5.833094559014878
us_israel_iran,Model1_clip,4.472143029545547,6.5907350438447425
us_israel_iran,Model2_clip,4.515085263814766,6.585317947833109
us_israel_iran,Model3_clip,4.2004845066420655,6.251652806347847
us_israel_iran,Model4_clip,4.2563406695456445,6.27164297376496
us_israel_iran,Model5_clip,4.223157200598591,6.222226521549173
us_israel_iran,Model1_strict,4.472140868962419,6.590731547300141
us_israel_iran,Model2_strict,4.515085263814766,6.585317947833109
us_israel_iran,Model3_strict,4.2004845066420655,6.251652806347847
us_israel_iran,Model4_strict,4.2563406695456445,6.27164297376496
us_israel_iran,Model5_strict,4.223155382152312,6.2222254343402765
us_israel_iran,Model3_eventD_eventD,3.9507167254373847,5.823916299935026
us_israel_iran,Model5_eventD_eventD,3.965545450486307,5.776340870793563
