date,event_name,event_date,N,mean_tone,F1_raw,F2_raw,F3_raw,F4_raw,F5_raw,F1_z,F2_z,F3_z,F4_z,F5_z,GPR,GPR_zscore
2025-03-17,us_israel_iran,2026-02-28,893,-5.339966275166676,5.339966275166676,5.712715676317063,3.581230573444812,0.7863751358726193,5.712715676317063,2.5876104630660484,2.451216990433642,0.9388219961637296,1.7576826492519633,4.956098543780318,174.11,1.442676596129511
2025-03-18,us_israel_iran,2026-02-28,847,-3.3755664269482084,3.3755664269482084,3.956452635369407,2.177762540997431,0.7078026164925877,4.788366707397245,0.2410175856788247,0.471152237350773,0.1615338668517708,0.1294584474643016,2.8355458063059604,174.11,1.442676596129511
2025-03-19,us_israel_iran,2026-02-28,774,-3.5479487789193005,3.5479487789193005,4.099189991547436,2.140537425075244,0.7472527941952117,4.534057956161153,0.4469385949323518,0.6320787052697517,0.140917336906218,0.9469673501578402,2.252135063469767,174.11,1.442676596129511
2025-03-20,us_israel_iran,2026-02-28,405,-4.426446586828344,4.426446586828344,4.858705342647408,1.5935723909689872,0.7652212188420369,4.62845963876838,1.4963566656521303,1.4883795788148302,-0.1620104237055605,1.3193192119640411,2.468702348343653,174.11,1.442676596129511
2025-03-21,us_israel_iran,2026-02-28,429,-3.7334897521647,3.7334897521647,4.073174072133607,1.410396770364552,0.7509362548083751,4.492862079091016,0.6685783627606817,0.6027475607604573,-0.2634592862257097,1.023298105032533,2.1576274339585657,174.11,1.442676596129511
2025-03-22,us_israel_iran,2026-02-28,289,-3.753487623633114,3.753487623633114,4.031631202488903,1.0113287025356203,0.7156646475363797,4.394426049348314,0.6924670139399433,0.5559108569139717,-0.4844766979083785,0.2923799029771733,1.9318049368761885,174.11,1.442676596129511
2025-03-23,us_israel_iran,2026-02-28,467,-3.533089397649699,3.533089397649699,5.042836247349749,1.4318037133725097,0.7477854608294484,4.518713253699108,0.429188177021634,1.6959744013749165,-0.251603396173175,0.9580055695275674,2.216932719002781,174.11,1.442676596129511
2025-03-24,us_israel_iran,2026-02-28,613,-3.0061248531858045,3.0061248531858045,3.6984158941075247,1.5161305592943417,0.7132623636066875,4.374683379740213,-0.2003024268368603,0.1802337106491428,-0.204900332902786,0.2425984162086009,1.8865131980522305,174.11,1.442676596129511
2025-03-25,us_israel_iran,2026-02-28,480,-2.3964308944829624,2.3964308944829624,2.6775993487044976,0.993291581963266,0.6778224834434043,4.097644399401918,-0.928618254276792,-0.9706661339582427,-0.49446626616624,-0.4918068319063902,1.250956943978628,174.11,1.442676596129511
2025-03-26,us_israel_iran,2026-02-28,473,-2.608509661781502,2.608509661781502,3.592800395975148,1.0682555709607162,0.686015713611841,4.020133683572968,-0.6752775073615702,0.0611595626682305,-0.4529486701637282,-0.3220220807449596,1.0731392948425549,174.11,1.442676596129511
2025-03-27,us_israel_iran,2026-02-28,331,-2.97311323958734,2.97311323958734,3.3110269883715944,0.9014074542572544,0.6997420882643213,3.9167938926696415,-0.2397367698050039,-0.2565204088073395,-0.5453548080402741,-0.0375763790120836,0.8360670592926447,174.11,1.442676596129511
2025-03-28,us_israel_iran,2026-02-28,422,-2.9098279921462504,2.9098279921462504,3.180553977543072,1.084266751042603,0.6870106175752702,3.814192134019208,-0.3153347754878229,-0.4036196780778225,-0.444081136364455,-0.3014051179125127,0.6006879465424945,174.11,1.442676596129511
