date,event_name,event_date,N,mean_tone,F1_raw,F2_raw,F3_raw,F4_raw,F5_raw,F1_z,F2_z,F3_z,F4_z,F5_z,GPR,GPR_zscore
2022-12-16,israel_hamas_war,2023-10-07,758,-1.7989737164687287,1.7989737164687287,2.2303650790090126,0.3684615980969138,0.6240242248165382,2.2303650790090126,-1.6374025072226437,-1.7603327796661152,-0.831941406766797,-1.7388439385128138,-3.391751840755004,111.2,0.15280202046828772
2022-12-17,israel_hamas_war,2023-10-07,316,-2.035302145347764,2.035302145347764,2.663126262767685,0.1842642495331387,0.636362476389922,2.458134123092525,-1.4023719973963302,-1.3522816409585297,-0.9171343181640566,-1.4850639358097468,-2.96894924711068,111.2,0.15280202046828772
2022-12-18,israel_hamas_war,2023-10-07,663,-3.643423346615861,3.643423346615861,4.381265316749409,0.6606708261263602,0.7045199108109463,3.167776629976984,0.1969173796341475,0.2677541287609991,-0.6967920407901464,-0.0831640159771174,-1.6516556979442751,111.2,0.15280202046828772
2022-12-19,israel_hamas_war,2023-10-07,657,-2.441625299039369,2.441625299039369,3.140552614623591,0.4390786369105055,0.6555100398863581,3.15986037078728,-0.998280376175194,-0.9021156514125542,-0.7992803984640622,-1.0912262281749685,-1.6663504732190946,111.2,0.15280202046828772
2022-12-20,israel_hamas_war,2023-10-07,930,-3.0331793362617776,3.0331793362617776,3.8285361941128944,0.7461129945315667,0.6934219203986958,3.3231471826662604,-0.4099751620388085,-0.253414950983562,-0.6572742782420378,-0.3114336391136091,-1.3632448082322723,111.2,0.15280202046828772
2022-12-21,israel_hamas_war,2023-10-07,943,-2.74014402179312,2.74014402179312,3.6304001892564135,0.6823709157059608,0.6794689647981198,3.388721209969152,-0.7014011224421375,-0.4402376731566858,-0.6867555564255118,-0.5984257699653227,-1.2415212046981563,111.2,0.15280202046828772
2022-12-22,israel_hamas_war,2023-10-07,1032,-2.351297840779977,2.351297840779977,3.0789795955016945,0.6339547997634097,0.6512028814834582,3.329349967117143,-1.0881117547643795,-0.9601729391483338,-0.7091484405134446,-1.1798182514960418,-1.351730717877271,111.2,0.15280202046828772
2022-12-23,israel_hamas_war,2023-10-07,752,-3.2168547696913325,3.2168547696913325,4.014394684499711,0.6541493307070998,0.6966892298408492,3.4496318419118444,-0.2273084766709912,-0.0781687147520214,-0.6998082904037414,-0.2442298060478146,-1.12845415790297,111.2,0.15280202046828772
2022-12-24,israel_hamas_war,2023-10-07,467,-2.616797209094964,2.616797209094964,3.151458462270336,0.3429643031809137,0.6634631637826436,3.400956792504012,-0.8240705127114601,-0.8918325120788122,-0.8437341323602193,-0.9276419640762265,-1.2188085658876282,111.2,0.15280202046828772
2022-12-25,israel_hamas_war,2023-10-07,611,-2.7113966275951875,2.7113966275951875,3.2362846420591893,0.4561650572686208,0.6582403764670606,3.3756740196644173,-0.7299906355471237,-0.8118497859146327,-0.791377777134194,-1.035067150795992,-1.2657404129000842,111.2,0.15280202046828772
2022-12-26,israel_hamas_war,2023-10-07,673,-3.0052584169177425,3.0052584169177425,3.4649345729993266,0.5524587552694088,0.6806414212799947,3.388682170595675,-0.4377427393014104,-0.5962554392239586,-0.7468410856678926,-0.5743100346547125,-1.241593672615939,111.2,0.15280202046828772
2022-12-27,israel_hamas_war,2023-10-07,723,-3.2742192662766265,3.2742192662766265,3.817079591847562,0.6424975879226799,0.7046945291508208,3.4483832651963366,-0.1702590267071343,-0.2642173976343587,-0.7051973250364144,-0.0795723690973495,-1.1307718629967622,111.2,0.15280202046828772
2022-12-28,israel_hamas_war,2023-10-07,798,-2.607884770333347,2.607884770333347,3.048722553177736,0.5595047821918148,0.6650936984031928,3.3947960404536293,-0.8329340042341444,-0.9887023476017036,-0.743582235570518,-0.894104223501779,-1.230244632435575,111.2,0.15280202046828772
2022-12-29,israel_hamas_war,2023-10-07,918,-2.466209267262148,2.466209267262148,2.9184540357805475,0.5996984785873251,0.6527917670959563,3.333032270528098,-0.9738314234513936,-1.111532718847092,-0.7249922936280829,-1.1471371708229512,-1.3448953402297,111.2,0.15280202046828772
2022-12-30,israel_hamas_war,2023-10-07,650,-2.7808240704490563,2.7808240704490563,3.701320729267772,0.4951961706160384,0.6737074080413052,3.379409848417527,-0.6609444891851295,-0.3733665946139081,-0.7733255401879513,-0.7169326654214396,-1.2588056773543417,111.2,0.15280202046828772
2022-12-31,israel_hamas_war,2023-10-07,1123,-2.1295287684100224,2.1295287684100224,2.695204593577941,0.618083117492499,0.6429496711351871,3.2954271614955184,-1.3086628682721746,-1.32203493698828,-0.7164892346778243,-1.349574860204806,-1.4147008649322692,111.2,0.15280202046828772
2023-01-01,israel_hamas_war,2023-10-07,502,-2.31098777795792,2.31098777795792,2.744411889439783,0.3240622220626707,0.6542969190236815,3.229296984516912,-1.128200434154907,-1.2756373073886191,-0.852476512934567,-1.1161783710274746,-1.5374568366983947,104.27,0.010712832591443297
2023-01-02,israel_hamas_war,2023-10-07,856,-4.353945819605536,4.353945819605536,5.18403535745732,0.9947899213467188,0.7846775146507926,3.4592918114849107,0.903537653216604,1.024687147536238,-0.5422589886198259,1.5655620452607872,-1.1105225719561096,104.27,0.010712832591443297
2023-01-03,israel_hamas_war,2023-10-07,1131,-3.288099049687832,3.288099049687832,3.815832820863554,0.9602468649985372,0.7132564769961849,3.500514484254571,-0.1564554712614873,-0.2653929797771783,-0.5582354593009025,0.0965345237161599,-1.034001844417853,104.27,0.010712832591443297
2023-01-04,israel_hamas_war,2023-10-07,1177,-3.164908736582011,3.164908736582011,3.663511573379679,0.9567042671080292,0.7047675495409683,3.5190701260162487,-0.2789692214364359,-0.4090169017410655,-0.5598739423222673,-0.0780704452065283,-0.9995574207028562,104.27,0.010712832591443297
2023-01-05,israel_hamas_war,2023-10-07,1182,-2.977908012154331,2.977908012154331,3.548399427054539,0.9034750826236722,0.6826279088687167,3.522363403178052,-0.4649429352574834,-0.5175563090397595,-0.5844929134034614,-0.5334508559747292,-0.9934441838000873,104.27,0.010712832591443297
2023-01-06,israel_hamas_war,2023-10-07,992,-2.71992904034916,2.71992904034916,3.245894939304799,0.7083152721173517,0.6739591376017717,3.491696576980565,-0.7215050829239095,-0.8027882229058388,-0.6747560609156766,-0.7117549521809804,-1.0503703289104076,104.27,0.010712832591443297
2023-01-07,israel_hamas_war,2023-10-07,403,-3.185494076661951,3.185494076661951,3.8721352906522672,0.363417415730341,0.6930664855211399,3.5334401559178774,-0.2584969363335179,-0.2123053005408043,-0.8342743859588305,-0.3187444208439373,-0.972882654877666,104.27,0.010712832591443297
2023-01-08,israel_hamas_war,2023-10-07,724,-2.965179565856162,2.965179565856162,3.68861032378992,0.5825856086847088,0.6882743211169624,3.5503021978098155,-0.4776014767496996,-0.3853512541058394,-0.7329071481074438,-0.4173123166444417,-0.9415820228065376,104.27,0.010712832591443297
2023-01-09,israel_hamas_war,2023-10-07,1128,-2.2216190851928843,2.2216190851928843,2.732796206906778,0.6473022343000112,0.6553545738350772,3.462228829318602,-1.2170783128033054,-1.2865897510511766,-0.7029751333691038,-1.0944239401586842,-1.1050706512938402,104.27,0.010712832591443297
2023-01-10,israel_hamas_war,2023-10-07,839,-2.6630194473408246,2.6630194473408246,3.6525251396360328,0.5976223468130079,0.6639345681280087,3.4825729079289705,-0.7781021276476452,-0.4193760258207571,-0.7259525230324556,-0.9179458580007872,-1.0673063921673276,104.27,0.010712832591443297
2023-01-11,israel_hamas_war,2023-10-07,700,-2.817157006257607,2.817157006257607,3.7405884920087527,0.5367951876869994,0.6779919692671391,3.509967451861971,-0.6248110943706563,-0.3363409650003894,-0.7540856249385065,-0.6288054333734903,-1.016454511600409,104.27,0.010712832591443297
2023-01-12,israel_hamas_war,2023-10-07,1023,-3.251835848769002,3.251835848769002,4.014529700146577,0.8700480466924242,0.7010024890123878,3.563210119076722,-0.1925195141712343,-0.0780414083056154,-0.5999532147192419,-0.1555122987331312,-0.917621336611605,104.27,0.010712832591443297
2023-01-13,israel_hamas_war,2023-10-07,736,-3.135975131395796,3.135975131395796,3.736980994466054,0.6254007760328127,0.7011502051687648,3.5889074851560365,-0.307743922856341,-0.3397424795895628,-0.7131047525421084,-0.1524739908868633,-0.8699198894203081,104.27,0.010712832591443297
2023-01-14,israel_hamas_war,2023-10-07,765,-4.980956860733325,4.980956860733325,5.915799160067949,1.0286997545377987,0.7778773978257614,3.839559521769103,1.527105140894616,1.7146682829209934,-0.5265753892788544,1.4256934702059263,-0.4046401073996226,104.27,0.010712832591443297
