Date,BTC,Gold,TLT,DXY,SP500,NASDAQ
2019-07-01,100.0,100.0,100.0,100.0,100.0,100.0
2019-07-02,102.06501167744597,99.88641781793005,101.37124713732516,100.77131652397323,100.29281258874232,100.22159600296814
2019-07-03,113.02199013945575,99.92771613230965,102.31668419107494,101.48971652969642,101.06229702511041,100.97723716613956
2019-07-05,103.73542626138101,100.42338256672254,100.80109524982083,100.1436684624359,100.87978846137374,100.87292652040686
2019-07-08,116.08997031501882,100.55762178433298,100.82275004438,100.27979060936036,100.39198985067901,100.08922980664178
2019-07-09,118.80990631283375,100.67121184475363,100.85883549536223,100.24197826084198,100.51613026499322,100.62500090521243
2019-07-10,114.86684205135494,100.26848631357159,101.76818709812979,99.68995489634143,100.96952732917495,101.37644188270667
2019-07-11,107.32795491057135,100.21685948142174,101.34960115269054,98.35904561493875,101.20026559278716,101.29622799187192
2019-07-12,111.64920970773626,99.96902232503994,101.75375644170673,98.47247112178519,101.66782848411813,101.89069909918086
2019-07-15,102.94766234233603,100.09294090323084,101.86201279465344,99.03962173343483,101.68570872292105,102.06435505183367
2019-07-16,89.55419931291772,100.57827881987349,101.70323152437683,98.74470387692537,101.33959309155671,101.62695640545213
2019-07-17,91.59670503168275,100.39240489176248,102.57650648608671,99.81094979611679,100.6777195258467,101.16237724715968
2019-07-18,100.7875516857323,99.94837316785016,102.92292152956148,99.81850765033697,101.038346894093,101.43465307673256
2019-07-19,99.5048504539486,100.32012102407215,102.85075062759701,99.58408724371517,100.41425984870898,100.68383367844054
2019-07-22,97.73197331765883,100.4337110844928,102.86519009394463,99.77313744759839,100.69830115494318,101.39633241717789
2019-07-23,93.55231505020241,100.89839196559494,102.48989611777459,99.22867193731804,101.38783102737825,101.98043582478371
2019-07-24,92.712849250678,100.91904900113542,102.68476283903343,99.65970040204323,101.86315217985724,102.84680860719429
2019-07-25,93.65695530089609,101.01198202601557,102.04244004956465,99.18330173457946,101.32710739739494,101.82149259150009
2019-07-26,93.26446208544144,101.20818447189681,102.37442443661632,99.41772214120125,102.07568076682587,102.95445646942048
2019-07-29,89.94636956463566,101.23916214685687,102.45381066679235,99.44796509679072,101.91071476810541,102.49865183695361
2019-07-30,90.78051107627203,101.24949066462712,103.1827350146487,99.68995489634143,101.64792220259504,102.25493244218589
2019-07-31,95.29905980642476,101.73482070291907,102.92292152956148,100.49152591461285,100.54143109115743,101.0413805189595
2019-08-01,98.26643216423537,101.60058148530862,102.547636363316,102.28371815503894,99.63667947740616,100.24668849153953
2019-08-02,99.38619357708176,101.30111749677697,104.33025411786888,103.22896917445502,98.91105145357858,98.92363603797934
2019-08-05,111.5515731563615,100.68154036252388,105.701501255194,105.0136035606609,95.96569596708784,95.48741947833695
2019-08-06,108.45717454713564,100.81577958013432,106.26443781448678,105.85298692745071,97.21488307921597,96.81269271972643
2019-08-07,112.8396171311039,100.7228465552542,108.78320405503207,105.8907992759691,97.28943486256183,97.17803042189658
2019-08-08,113.07053620285075,100.80545894071477,108.09035634823341,106.1176618283707,99.1148087580391,99.35732331339612
2019-08-09,112.09284192401495,100.67121184475363,108.0109701180574,105.90592652311821,98.45900508454363,98.3683425246592
2019-08-12,107.55429712479227,100.55762178433298,108.6388622511031,108.1140315198291,97.2462537975947,97.18519970434555
2019-08-13,102.95465681411962,101.00165350824533,108.41512540707359,107.74348896628285,98.71775380055965,99.07553068380471
2019-08-14,94.97851368397352,101.18752743635633,109.40387204994171,110.17089866117516,95.82603903047762,96.0794223730856
2019-08-15,97.43375783071717,101.34242368950726,109.67090086324045,111.3959402899516,96.06218007467697,95.98895544278888
2019-08-16,98.02708835272807,101.34242368950726,109.15848922127755,110.50362886620302,97.44798505933505,97.5878623323969
2019-08-19,103.14574984336258,101.5592752925783,108.28522306949225,108.92316039232071,98.62767725897174,98.90806638417602
2019-08-20,101.70174206639582,101.39405840000781,108.58833733377324,110.0499037613998,97.8470660595347,98.23758157170947
2019-08-21,95.79439390318285,101.50764846042846,108.58833733377324,109.31638804723625,98.65399110649605,99.12311468389741
2019-08-22,95.72830629511688,101.37340136446731,108.06149503538727,108.59044172600159,98.604064801741,98.7669256620241
2019-08-23,98.34482007690228,100.82610809790458,110.17609717699182,110.37507611220747,96.04565053102085,95.80542060514537
2019-08-26,97.99384154291772,101.28046833958717,110.1544511923572,109.92890886162445,97.10051873282394,97.06568752453126
2019-08-27,96.2427506175528,101.19785595412655,111.21535992726525,111.6228028423532,96.78948823149202,96.7345849564798
2019-08-28,92.16950428757428,101.41470755719762,110.98441656494875,111.76648284349784,97.42302190695753,97.10449096404884
2019-08-29,89.86184534097127,101.7245000634995,110.16888184878029,111.34301223299283,98.65905621329651,98.54446065512276
2019-08-30,90.69310786158327,102.14787475187134,109.6348154122582,111.3732551885823,98.72247299762739,98.4145626713567
2019-09-03,100.38178927446657,102.1788524268314,111.56899910887613,111.32032713162354,98.04137673391371,97.31806075013385
2019-09-04,100.10732546347603,101.6625368352287,111.88655283950474,111.48668069542876,99.10434910659752,98.58759101005775
2019-09-05,99.92817286495594,101.6212385208491,109.36778659895946,109.46762590260106,100.3936782196125,100.31725885261548
2019-09-06,97.82831801408676,101.60058148530862,108.70380901493151,110.2465118195032,100.48509722040116,100.14719357593671
2019-09-09,97.65513563092811,101.48699142488795,108.41512540707359,108.28795447656321,100.47565059031966,99.95402124328393
2019-09-10,95.58581469448092,101.53862613538851,107.5562987216359,106.3898945835109,100.5080343300585,99.91348583064948
2019-09-11,96.17539883714599,101.86906779888021,107.85219765770535,106.20084437962767,101.23467537524617,100.97044203816183
2019-09-12,98.36524984013295,101.517969099848,108.16252725019788,105.5051410139825,101.5261455047877,101.2768202373636
2019-09-13,97.89676787119838,101.46634226769817,107.59959950082967,103.25165427582431,101.45259850685594,101.05732432723404
2019-09-16,97.10538675830225,101.86906779888021,108.48008098082651,104.5674478487866,101.1344850919494,100.77096339224376
2019-09-17,96.7697443880437,101.46634226769817,108.62442278475548,105.13459846043625,101.39558928852628,101.1723888966402
2019-09-18,96.36320686380988,101.81743308837964,108.79763471145513,105.58075417231055,101.43033674477198,101.06573073333793
2019-09-19,97.00731651276676,101.47666290711771,108.1408812655633,105.8983571301893,101.43236278749217,101.13357942237309
2019-09-20,96.20629262544604,101.7245000634995,108.78320405503207,107.29733325440856,100.93579289428934,100.3276386218177
