범위,이벤트,모델,τ,변수,β,SE,p,n,유효n,방법
전체합산,전체,Gold+GPR+IA,0.1,Gold_x_GPR,-0.00208,0.00141,0.1416,1800,180.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.2,Gold_z,0.00354,0.00121,0.0036,1800,360.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.2,GPR_custom_z,0.00156,0.00165,0.3448,1800,360.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.2,Gold_x_GPR,-0.00066,0.00115,0.5701,1800,360.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.25,Gold_z,0.00254,0.00117,0.0305,1800,450.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.25,GPR_custom_z,0.00063,0.00146,0.6669,1800,450.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.25,Gold_x_GPR,-7e-05,0.0011,0.948,1800,450.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.5,Gold_z,0.0038,0.00112,0.0007,1800,900.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.5,GPR_custom_z,0.0008,0.0009,0.3712,1800,900.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.5,Gold_x_GPR,0.00011,0.00102,0.9153,1800,900.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.75,Gold_z,0.00369,0.00119,0.0019,1800,1350.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.75,GPR_custom_z,0.00145,0.00127,0.2552,1800,1350.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.75,Gold_x_GPR,-0.00054,0.00107,0.6148,1800,1350.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.9,Gold_z,0.00111,0.00154,0.4701,1800,1620.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.9,GPR_custom_z,0.00241,0.00265,0.3647,1800,1620.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.9,Gold_x_GPR,-0.00136,0.00156,0.3829,1800,1620.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.95,Gold_z,0.00462,0.00181,0.0108,1800,1710.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.95,GPR_custom_z,-0.0003,0.00352,0.9323,1800,1710.0,HAC+IA(bw=7)
전체합산,전체,Gold+GPR+IA,0.95,Gold_x_GPR,-0.00181,0.00172,0.2946,1800,1710.0,HAC+IA(bw=7)
