모델,τ,β_Z,p_β_Z,β_MM,p_β_MM,γ_Z,p_γ_Z,γ_MM,p_γ_MM,방향일치,유의성일치,종합판정
SP500+GPR,0.01,0.02682,0.0,0.46206,0.0,0.01,0.0834,0.09092,0.1063,✅ 일치,✅ 유지,강건
SP500+GPR,0.025,0.02136,0.0,0.37327,0.0,0.00243,0.5814,0.02205,0.6144,✅ 일치,✅ 유지,강건
SP500+GPR,0.05,0.01766,0.0,0.30739,0.0,0.00235,0.4609,0.02444,0.4375,✅ 일치,✅ 유지,강건
SP500+GPR,0.1,0.01575,0.0,0.27862,0.0,0.00083,0.7421,0.00946,0.7052,✅ 일치,✅ 유지,강건
SP500+GPR,0.2,0.01339,0.0,0.23497,0.0,0.001,0.5357,0.00991,0.537,✅ 일치,✅ 유지,강건
SP500+GPR,0.25,0.01219,0.0,0.21217,0.0,0.00041,0.776,0.00301,0.8348,✅ 일치,✅ 유지,강건
SP500+GPR,0.5,0.01099,0.0,0.19242,0.0,0.00069,0.4376,0.00766,0.3853,✅ 일치,✅ 유지,강건
SP500+GPR,0.75,0.00981,0.0,0.17219,0.0,0.00039,0.7418,0.00266,0.82,✅ 일치,✅ 유지,강건
SP500+GPR,0.9,0.0091,0.0007,0.1594,0.0007,0.00214,0.392,0.02134,0.3891,✅ 일치,✅ 유지,강건
SP500+GPR,0.95,0.00976,0.0008,0.17314,0.0006,-0.0001,0.9764,-0.00337,0.9188,✅ 일치,✅ 유지,강건
Gold+GPR,0.01,0.01769,0.0,0.27978,0.0,0.00743,0.2941,0.07337,0.2938,✅ 일치,✅ 유지,강건
Gold+GPR,0.025,0.00736,0.0007,0.11644,0.0007,-0.00256,0.6194,-0.02551,0.6166,✅ 일치,✅ 유지,강건
Gold+GPR,0.05,0.00614,0.0004,0.0972,0.0004,-0.00026,0.9442,-0.00251,0.9445,✅ 일치,✅ 유지,강건
Gold+GPR,0.1,0.00426,0.0025,0.0675,0.0024,0.00035,0.8931,0.00347,0.8924,✅ 일치,✅ 유지,강건
Gold+GPR,0.2,0.00362,0.0029,0.05668,0.0032,0.00142,0.3882,0.01456,0.3699,✅ 일치,✅ 유지,강건
Gold+GPR,0.25,0.00257,0.0286,0.04146,0.0257,0.00062,0.6689,0.00674,0.6402,✅ 일치,✅ 유지,강건
Gold+GPR,0.5,0.00377,0.0007,0.05968,0.0007,0.00075,0.4041,0.00748,0.4012,✅ 일치,✅ 유지,강건
Gold+GPR,0.75,0.00356,0.0027,0.05669,0.0025,0.00113,0.3709,0.01071,0.3872,✅ 일치,✅ 유지,강건
Gold+GPR,0.9,0.00147,0.3298,0.01962,0.4123,0.00137,0.5869,0.01472,0.5573,✅ 일치,✅ 유지,강건
Gold+GPR,0.95,0.00452,0.0122,0.07086,0.0131,-0.00154,0.6599,-0.01542,0.6551,✅ 일치,✅ 유지,강건
