event,asset,CAR,t_stat,p_norm,p_boot,p_t,sig,label
hormuz_crisis,BTC,0.08078773341690873,0.8345452640499993,0.43593476393988917,0.2356,0.43593476393988917,False,⚪ 비유의
hormuz_crisis,Gold,0.0036915442713831917,0.22259909509910997,0.8312316462185234,0.7924,0.8312316462185234,False,⚪ 비유의
hormuz_crisis,TLT,0.0038489458782450946,0.29044701839595916,0.7812517300651884,0.7484,0.7812517300651884,False,⚪ 비유의
hormuz_crisis,DXY,0.009392661473250375,1.5634790742323623,0.1689711426144036,0.2044,0.1689711426144036,False,⚪ 비유의
hormuz_crisis,NASDAQ,0.007284430356097949,0.9210818080995858,0.3925364736517849,0.2028,0.3925364736517849,False,⚪ 비유의
soleimani_assassination,BTC,0.14175061628797356,1.5161171131524447,0.1802748405264034,0.227,0.1802748405264034,False,⚪ 비유의
soleimani_assassination,Gold,0.02599361777446854,1.2320056866720257,0.2640350251845809,0.1822,0.2640350251845809,False,⚪ 비유의
soleimani_assassination,TLT,-0.00913069092692196,-0.3563028703718641,0.7338078527450991,0.6764,0.7338078527450991,False,⚪ 비유의
soleimani_assassination,DXY,0.002772718779611518,0.32794565759326955,0.7540943898935049,0.6926,0.7540943898935049,False,⚪ 비유의
soleimani_assassination,NASDAQ,0.008811883626933739,2.197180182715603,0.07037504871445721,0.0986,0.07037504871445721,False,⚪ 비유의
russia_ukraine_war,BTC,0.11273937175271768,1.0422003587703257,0.3374799985517498,0.239,0.3374799985517498,False,⚪ 비유의
russia_ukraine_war,Gold,0.02173463688776269,0.6431975343570022,0.5438793734963019,0.267,0.5438793734963019,False,⚪ 비유의
russia_ukraine_war,TLT,0.032113878784042885,1.0125844328294962,0.35033674078853516,0.1874,0.35033674078853516,False,⚪ 비유의
russia_ukraine_war,DXY,0.014097281077850124,1.0741415533369316,0.3240464025083556,0.0552,0.3240464025083556,False,⚪ 비유의
russia_ukraine_war,NASDAQ,0.012708309771263034,0.5812497121523135,0.5822331339153402,0.239,0.5822331339153402,False,⚪ 비유의
israel_hamas_war,BTC,-0.028596934276313803,-0.8709987159060064,0.4172379209673853,0.5342,0.4172379209673853,False,⚪ 비유의
israel_hamas_war,Gold,0.026302050393875138,1.834645807247772,0.11623742247945046,0.0854,0.11623742247945046,False,⚪ 비유의
israel_hamas_war,TLT,0.014464270376773395,0.299580023976624,0.7746043969551621,0.533,0.7746043969551621,False,⚪ 비유의
israel_hamas_war,DXY,-0.0051156726049838095,-0.517710036482766,0.6231871781877456,0.6176,0.6231871781877456,False,⚪ 비유의
israel_hamas_war,NASDAQ,0.00014147652688442083,0.022976212471890297,0.9824143061220927,0.984,0.9824143061220927,False,⚪ 비유의
israel_iran,BTC,-0.06289932089126521,-0.7506297595153717,0.4812656237345847,0.4158,0.4812656237345847,False,⚪ 비유의
israel_iran,Gold,0.043281729356723975,2.6107270762151256,0.04008132266726472,0.035,0.04008132266726472,True,🟢 Safe Haven
israel_iran,TLT,-0.0026153745055687502,-0.09354262912724899,0.9285179298326731,0.9246,0.9285179298326731,False,⚪ 비유의
israel_iran,DXY,0.0006050151094437741,0.07279392156123916,0.9443361053254273,0.957,0.9443361053254273,False,⚪ 비유의
israel_iran,NASDAQ,-0.00038158538761448764,-0.0458726249658286,0.9649004468730336,0.9596,0.9649004468730336,False,⚪ 비유의
us_israel_iran,BTC,0.13152642363763178,1.8975982409130354,0.10652396631819094,0.01,0.10652396631819094,False,⚪ 비유의
us_israel_iran,Gold,-0.04028840045679349,-0.8905075561333265,0.407480360582551,0.225,0.407480360582551,False,⚪ 비유의
us_israel_iran,TLT,-0.01115876627258578,-0.6594329050407347,0.5340947140857213,0.3936,0.5340947140857213,False,⚪ 비유의
us_israel_iran,DXY,0.014161427742025483,1.1782595770883988,0.2833020120500278,0.0678,0.2833020120500278,False,⚪ 비유의
us_israel_iran,NASDAQ,0.007241649890585912,0.7652950910217571,0.47311436193913314,0.252,0.47311436193913314,False,⚪ 비유의
