date,day_offset,actual,normal,AR,SAR,CAR,CSAR,event_name,asset
2019-06-10,-3,-0.0054376622004116,0.008411122965653267,-0.013848785166064867,-0.4739455372508322,-0.013848785166064867,-0.17913457522208587,hormuz_crisis,BTC
2019-06-11,-2,-0.009117973017984,0.004226205639581271,-0.013344178657565271,-0.4566764410880051,-0.027192963823630137,-0.3517420456136431,hormuz_crisis,BTC
2019-06-12,-1,0.0271447396905516,0.0027321032439194017,0.024412636446632198,0.835471123110507,-0.002780327376997939,-0.03596364285275314,hormuz_crisis,BTC
2019-06-13,0,0.0103887534460544,0.006523100561430052,0.0038656528846243484,0.1322938374203338,0.0010853255076264095,0.014038727690191698,hormuz_crisis,BTC
2019-06-14,1,0.0547156649508117,0.002192079822765859,0.052523585128045835,1.7975092019515342,0.05360891063567225,0.6934333459350399,hormuz_crisis,BTC
2019-06-17,2,0.0695865294306852,0.006722820567698441,0.06286370886298676,2.1513781832398893,0.116472619498659,1.5065778672068535,hormuz_crisis,BTC
2019-06-18,3,-0.0259321508495559,0.009752735232194375,-0.03568488608175027,-1.2212401523270664,0.08078773341690873,1.0449924766148453,hormuz_crisis,BTC
2019-06-10,-3,-0.0123787173553216,4.666221769557263e-05,-0.012425379573017172,-2.0852625977279278,-0.012425379573017172,-0.7881551788360883,hormuz_crisis,Gold
2019-06-11,-2,0.0012825419568353,4.666221769557263e-05,0.0012358797391397273,0.2074088586327213,-0.011189499833877445,-0.7097619988855265,hormuz_crisis,Gold
2019-06-12,-1,0.0041379887499468,4.666221769557263e-05,0.004091326532251228,0.6866180741329051,-0.007098173301626217,-0.45024476033727256,hormuz_crisis,Gold
2019-06-13,0,0.0054658717373067,4.666221769557263e-05,0.005419209519611127,0.9094671799834759,-0.0016789637820150902,-0.10649847693563007,hormuz_crisis,Gold
2019-06-14,1,0.000671835533549,4.666221769557263e-05,0.0006251733158534273,0.10491836687852131,-0.0010537904661616629,-0.06684306168940102,hormuz_crisis,Gold
2019-06-17,2,-0.0010452624905258,4.666221769557263e-05,-0.0010919247082213726,-0.183249915240707,-0.0021457151743830352,-0.13610501933234037,hormuz_crisis,Gold
2019-06-18,3,0.0058839216634618,4.666221769557263e-05,0.005837259445766227,0.9796255095436627,0.0036915442713831917,0.23415862012872576,hormuz_crisis,Gold
2019-06-10,-3,-0.0094570981468076,-0.0007833066554571172,-0.008673791491350483,-1.7090862862471325,-0.008673791491350483,-0.6459738975086947,hormuz_crisis,TLT
2019-06-11,-2,0.0006128530182133,0.001033637724103784,-0.0004207847058904841,-0.0829115354014567,-0.009094576197240967,-0.6773115122930922,hormuz_crisis,TLT
2019-06-12,-1,0.0007654509049308,0.0016477648412482216,-0.0008823139363174216,-0.17385138324209912,-0.009976890133558389,-0.7430211587421174,hormuz_crisis,TLT
2019-06-13,0,0.0034377040938653,-0.0005796985851024467,0.004017402678967746,0.7915901404596986,-0.005959487454590642,-0.44382820846396726,hormuz_crisis,TLT
2019-06-14,1,0.0025134391272304,0.001492627722711294,0.0010208114045191059,0.2011409628705106,-0.004938676050071537,-0.3678040704320462,hormuz_crisis,TLT
2019-06-17,2,0.0017480203541809,0.0005679651327349502,0.0011800552214459499,0.23251840881796249,-0.003758620828625587,-0.27992037257822094,hormuz_crisis,TLT
2019-06-18,3,0.0049992805284163,-0.0026082861784543815,0.007607566706870681,1.4989970583669832,0.0038489458782450946,0.28664726062983764,hormuz_crisis,TLT
2019-06-10,-3,0.0015514459723424,0.00017318799333790352,0.0013782579790044965,0.4367883513277081,0.0013782579790044965,0.16509047902614638,hormuz_crisis,DXY
2019-06-11,-2,-0.000723698074158,0.00017318799333790352,-0.0008968860674959036,-0.28423516694115886,0.00048137191150859297,0.057659683942541555,hormuz_crisis,DXY
2019-06-12,-1,0.003200968758095,0.00017318799333790352,0.0030277807647570965,0.9595441409127404,0.0035091526762656895,0.4203332794917171,hormuz_crisis,DXY
2019-06-13,0,0.0001031094905333,0.00017318799333790352,-7.007850280460351e-05,-0.02220881298698948,0.003439074173461086,0.41193913719492914,hormuz_crisis,DXY
2019-06-14,1,0.0057559779981799,0.00017318799333790352,0.005582790004841996,1.7692606748303017,0.009021864178303082,1.0806568157731138,hormuz_crisis,DXY
2019-06-17,2,-0.0001025176690412,0.00017318799333790352,-0.0002757056623791035,-0.08737480468588636,0.008746158515923978,1.0476322437657286,hormuz_crisis,DXY
2019-06-18,3,0.0008196909506643,0.00017318799333790352,0.0006465029573263965,0.20488541707050267,0.009392661473250375,1.125071652456057,hormuz_crisis,DXY
2019-06-10,-3,0.010416852029554,0.005853313706055521,0.0045635383234984795,1.7456270642625809,0.0045635383234984795,0.6597850134146508,hormuz_crisis,NASDAQ
2019-06-11,-2,-7.671067859787108e-05,-0.00032652566673651055,0.0002498149881386395,0.09555826497780698,0.004813353311637119,0.6959026426786638,hormuz_crisis,NASDAQ
2019-06-12,-1,-0.0038231304904305,-0.0024153110919379367,-0.0014078193984925634,-0.5385136421333933,0.0034055339131445557,0.4923636177214361,hormuz_crisis,NASDAQ
2019-06-13,0,0.0056826888551269,0.005160796541550966,0.0005218923135759338,0.19963223328655083,0.003927426226720489,0.5678175095712423,hormuz_crisis,NASDAQ
2019-06-14,1,-0.0051772240584065,-0.001887654613236204,-0.0032895694451702965,-1.258313406439924,0.0006378567815501926,0.09221974602573099,hormuz_crisis,NASDAQ
2019-06-17,2,0.0061834811639243,0.0012573322913517191,0.00492614887257258,1.8843314518189473,0.005564005654122773,0.8044300901871915,hormuz_crisis,NASDAQ
2019-06-18,3,0.0137809071236098,0.012060482421634624,0.0017204247019751758,0.6580902161661779,0.007284430356097949,1.0531648119329693,hormuz_crisis,NASDAQ
2019-12-30,-3,0.0003986452276052,-0.003980915281463215,0.004379560509068415,0.10713159130801315,0.004379560509068415,0.0404919354513731,soleimani_assassination,BTC
