formula,n,pearson_r,pearson_p,spearman_r,spearman_p,event,ref,sig_5pct
F1_z,266,0.1849306238724712,0.002461097737239104,0.20993686519985683,0.0005682628631064955,hormuz_crisis,GPR 공식 (Z-score),✅
F2_z,266,0.13229515440468143,0.031005911847065,0.15865628692703848,0.00954595639974814,hormuz_crisis,GPR 공식 (Z-score),✅
F3_z,266,0.33183373245882813,2.9487954548127042e-08,0.4008404170828665,1.0927515269690367e-11,hormuz_crisis,GPR 공식 (Z-score),✅
F4_z,266,0.19436017332532185,0.0014454361652253178,0.19456411292511908,0.001428505367136554,hormuz_crisis,GPR 공식 (Z-score),✅
F5_z,266,0.3796952165081433,1.504316174816933e-10,0.4366061196329493,8.312627631222449e-14,hormuz_crisis,GPR 공식 (Z-score),✅
F1_z,384,0.39204020786440713,1.4752359189874292e-15,0.4256614132481113,2.4820407661042034e-18,israel_hamas_war,GPR 공식 (Z-score),✅
F2_z,384,0.2964794195648386,3.1311137776856887e-09,0.3488948123390107,1.9647369160244783e-12,israel_hamas_war,GPR 공식 (Z-score),✅
F3_z,384,0.8375613955233545,2.505931836904497e-102,0.5760332378706922,2.5309873285878047e-35,israel_hamas_war,GPR 공식 (Z-score),✅
F4_z,384,0.37942359445834395,1.3525756428327455e-14,0.4061190982241493,1.109739651974431e-16,israel_hamas_war,GPR 공식 (Z-score),✅
F5_z,384,0.41492554786408287,2.0645123984186416e-17,0.4587002707825441,2.234031020392171e-21,israel_hamas_war,GPR 공식 (Z-score),✅
F1_z,438,0.10406842759594091,0.029429645406806853,0.10369866726537932,0.03001415552543907,israel_iran,GPR 공식 (Z-score),✅
F2_z,438,0.08073454298757757,0.09149262780917189,0.07695749988354664,0.10775096797451514,israel_iran,GPR 공식 (Z-score),—
F3_z,438,0.30797791819738174,4.4613944172033434e-11,0.30293375162713776,9.508200741654948e-11,israel_iran,GPR 공식 (Z-score),✅
F4_z,438,0.11169461500146799,0.019375008629268296,0.10183166454793219,0.033119630358824675,israel_iran,GPR 공식 (Z-score),✅
F5_z,438,0.2808630429177612,2.2033120074712493e-09,0.27433910845853327,5.300440413117109e-09,israel_iran,GPR 공식 (Z-score),✅
F1_z,686,0.12556099853584982,0.0009817760781546335,0.1314377386852271,0.0005579544512178188,russia_ukraine_war,GPR 공식 (Z-score),✅
F2_z,686,0.03208516815668304,0.40144382249943733,0.024488124253556925,0.5219713819853902,russia_ukraine_war,GPR 공식 (Z-score),—
F3_z,686,0.7950311442898927,1.184063837609497e-150,0.7053849853809704,2.53297311280987e-104,russia_ukraine_war,GPR 공식 (Z-score),✅
F4_z,686,0.18465330528568036,1.1189236550121553e-06,0.1821821863686775,1.5615451047956351e-06,russia_ukraine_war,GPR 공식 (Z-score),✅
F5_z,686,0.0811141434231733,0.033658773555926745,0.019918406718062463,0.6025094230138364,russia_ukraine_war,GPR 공식 (Z-score),✅
F1_z,438,-0.04451981489227422,0.352614956158967,-0.08879161572306288,0.06336393641191476,soleimani_assassination,GPR 공식 (Z-score),—
F2_z,438,-0.041119029957058906,0.3906376822179816,-0.08394615634807735,0.07926937602093441,soleimani_assassination,GPR 공식 (Z-score),—
F3_z,438,0.5053465636947266,9.075997387254956e-30,0.11936345519484164,0.012422948576266803,soleimani_assassination,GPR 공식 (Z-score),✅
F4_z,438,-0.03706857305841747,0.43902729152003667,-0.09671222400475524,0.043073434501726515,soleimani_assassination,GPR 공식 (Z-score),—
F5_z,438,0.1609050323675804,0.0007250735097054394,-0.07566968303772277,0.11378852739565463,soleimani_assassination,GPR 공식 (Z-score),✅
F1_z,393,0.2723831629342321,4.095820551611149e-08,0.2775279647445054,2.21224916981815e-08,us_israel_iran,GPR 공식 (Z-score),✅
F2_z,393,0.24224037801244497,1.17684672189617e-06,0.2606865199973367,1.5853238914456927e-07,us_israel_iran,GPR 공식 (Z-score),✅
F3_z,393,0.8083055468446704,5.549069160454196e-92,0.5042221140974896,9.837770004862846e-27,us_israel_iran,GPR 공식 (Z-score),✅
F4_z,393,0.3944370918288533,4.4250501164333243e-16,0.35143200389062534,7.240748719641391e-13,us_israel_iran,GPR 공식 (Z-score),✅
F5_z,393,0.35187470753504163,6.746702201290257e-13,0.3641764416134113,9.053402434733329e-14,us_israel_iran,GPR 공식 (Z-score),✅
