date,event_name,event_date,GPR_custom,F3_raw,GPR,GPR_zscore,N,mean_tone,BTC,Gold,TLT,DXY,SP500,NASDAQ,VIX,fear_greed,fg_label,fear_greed_lag1
2019-01-02,hormuz_crisis,2019-06-13,-0.7454216655565656,1.02496049755063,87.42,-0.3347709792014608,406,-3.543996948473769,0.05223829160589142,0.002109914525054996,0.005253228694377583,0.006736141674937097,0.0012676930626261643,0.004610135188027707,23.219999313354492,30.0,Fear,
2019-01-03,hormuz_crisis,2019-06-13,0.669602858879037,3.317164471453892,87.42,-0.3347709792014608,1149,-4.9704400555358985,-0.02742232180619206,0.008395609500155037,0.011315187482934875,-0.005281451136241998,-0.02506833181891511,-0.030840003413063557,25.450000762939453,33.0,Fear,30.0
2019-01-04,hormuz_crisis,2019-06-13,-0.6516531150742655,1.1768565532945447,87.42,-0.3347709792014608,599,-2.927566736740685,0.005452331614920808,-0.007069439157760669,-0.01164271483522426,-0.0012467026777095323,0.03375939906034647,0.04171978412266962,21.3799991607666,48.0,Neutral,33.0
2019-01-07,hormuz_crisis,2019-06-13,-0.5214558955901055,1.3877635579005476,87.42,-0.3347709792014608,610,-3.400950504092769,0.042510901248586794,0.0031913610711298765,-0.0029525208806062365,-0.005002650903429855,0.006985975995229761,0.01247742073715234,21.399999618530273,39.0,Fear,48.0
2019-01-08,hormuz_crisis,2019-06-13,-0.4633852373902735,1.4818324529579852,87.42,-0.3347709792014608,533,-4.061624802137352,0.0013901547706836324,-0.0028016342498520465,-0.0026317943837888985,0.001983221158362685,0.009648587336497393,0.010718362847466868,20.469999313354492,39.0,Fear,39.0
2019-01-09,hormuz_crisis,2019-06-13,-0.596639992652996,1.265972533726868,87.42,-0.3347709792014608,557,-3.3446374016222604,0.0011030020343775215,0.0047425532281951755,-0.0015659330091569036,-0.007115981214347269,0.004089671332822161,0.008673322865231559,19.979999542236328,42.0,Fear,39.0
2019-01-10,hormuz_crisis,2019-06-13,-0.6985878829118832,1.1008267322605063,87.42,-0.3347709792014608,457,-3.437175642672769,-0.0924592824929815,-0.0035742832584524176,-0.006454294554438658,0.00335500095828451,0.004508241374462229,0.004158283898455209,19.5,37.0,Fear,42.0
2019-01-11,hormuz_crisis,2019-06-13,-0.454127590681291,1.4968289524594944,87.42,-0.3347709792014608,589,-3.775581233505073,0.002291770109090111,0.0018664166569111902,0.003894128305443112,0.0013597330063223076,-0.0001463085444824661,-0.002090603188675801,18.190000534057617,19.0,Extreme Fear,37.0
2019-01-14,hormuz_crisis,2019-06-13,-0.90674939079199,0.7636250602493501,87.42,-0.3347709792014608,373,-2.8431326388357507,0.005054984870562135,0.0015526748231558635,-0.0037280764061801974,-0.0008365767857184733,-0.00527139458724949,-0.009448534565961127,19.06999969482422,16.0,Extreme Fear,19.0
2019-01-15,hormuz_crisis,2019-06-13,-0.7659763045233969,0.991663954410708,87.42,-0.3347709792014608,342,-3.9855323351851,-0.020548563372547957,-0.0022521847725428135,-0.003658763715559068,0.003967481584089056,0.010664618879761001,0.01692966097108439,18.600000381469727,27.0,Fear,16.0
2019-01-16,hormuz_crisis,2019-06-13,-0.8561715833505281,0.8455562559329551,87.42,-0.3347709792014608,414,-2.8746064043419297,0.006679301401546422,0.004189644244261605,0.0009991902937477445,0.0009373154720789112,0.0022195205290883643,0.0015449514495489678,19.040000915527344,24.0,Extreme Fear,27.0
2019-01-17,hormuz_crisis,2019-06-13,-0.7400665601947928,1.0336352544745937,87.42,-0.3347709792014608,498,-2.9998730498408275,0.006424485580328479,-0.0004646291352922488,0.0002496257848209902,0.00010411842380147599,0.007562730706235749,0.0070500314846657745,18.059999465942383,28.0,Fear,24.0
2019-01-18,hormuz_crisis,2019-06-13,-0.7604503196726494,1.0006155197128463,87.42,-0.3347709792014608,422,-3.345879798272545,-0.005649816019732142,-0.007541886222843759,-0.005255527281775565,0.002806473944679403,0.01309691283985578,0.010219384517698674,17.799999237060547,29.0,Fear,28.0
2019-01-22,hormuz_crisis,2019-06-13,-0.574291213822305,1.302175411318709,87.42,-0.3347709792014608,495,-3.798619320018406,-0.014668165057360533,0.00093607242112592,0.006752038213659928,-0.00041521269553680814,-0.014258476827972471,-0.019308552581686445,20.799999237060547,27.0,Fear,29.0
