date,N,mean_tone,sum_tone_x_polarity,sum_polarity,mean_pos,mean_neg,relative_N,coverage_scaled,F1_raw,F2_raw,F3_raw,F4_raw,F5_raw,F1_z,F2_z,F3_z,F4_z,F5_z,event_name,event_date
2022-12-16,758,-1.7989737164687287,-12261.213751552375,5497.402136963259,2.726767849525041,4.525741565993771,0.22730126601257578,0.20481766616367278,1.7989737164687287,2.2303650790090126,0.3684615980969138,0.6240242248165382,2.2303650790090126,-1.6374025072226435,-1.7603327796661152,-0.831941406766797,-1.7388439385128138,-3.3917518407550036,israel_hamas_war,2023-10-07
2022-12-17,316,-2.035302145347764,-6280.335652677358,2358.2568128596517,2.7137679350154396,4.749070080363205,0.09475883912925323,0.090534100774337,2.035302145347764,2.6631262627676855,0.18426424953313877,0.636362476389922,2.458134123092525,-1.4023719973963302,-1.3522816409585297,-0.9171343181640566,-1.4850639358097468,-2.9689492471106798,israel_hamas_war,2023-10-07
2022-12-18,663,-3.643423346615861,-25873.616014420615,5905.51225361924,2.6319174772344835,6.275340823850345,0.19881364032498383,0.1813324347114409,3.643423346615861,4.381265316749409,0.6606708261263602,0.7045199108109463,3.167776629976984,0.19691737963414754,0.26775412876099913,-0.6967920407901464,-0.08316401597711744,-1.6516556979442751,israel_hamas_war,2023-10-07
2022-12-19,657,-2.4416252990393694,-16198.023737368756,5157.698572520225,2.7043765228701364,5.146001821909505,0.19701442186050433,0.17983047484118722,2.4416252990393694,3.140552614623591,0.4390786369105055,0.6555100398863581,3.1598603707872797,-0.998280376175194,-0.9021156514125542,-0.7992803984640622,-1.0912262281749685,-1.6663504732190946,israel_hamas_war,2023-10-07
2022-12-20,930,-3.0331793362617776,-27917.601760969843,7291.978016010006,2.4038286200465335,5.437007956308312,0.2788788619943212,0.24598380504962453,3.0331793362617776,3.8285361941128944,0.7461129945315667,0.6934219203986958,3.3231471826662604,-0.40997516203880857,-0.253414950983562,-0.6572742782420378,-0.31143363911360916,-1.3632448082322723,israel_hamas_war,2023-10-07
2022-12-21,943,-2.7401440217931197,-26134.86315438232,7198.893177596303,2.44694452017253,5.187088541965649,0.28277716866736013,0.24902739063307514,2.7401440217931197,3.6304001892564135,0.6823709157059608,0.6794689647981198,3.3887212099691513,-0.7014011224421375,-0.4402376731566858,-0.6867555564255118,-0.5984257699653227,-1.2415212046981565,israel_hamas_war,2023-10-07
2022-12-22,1032,-2.351297840779977,-24706.09402346867,8024.117489951413,2.71200490226089,5.063302743040866,0.3094655758904726,0.26961909664031036,2.351297840779977,3.0789795955016945,0.6339547997634097,0.6512028814834582,3.329349967117143,-1.0881117547643795,-0.9601729391483338,-0.7091484405134446,-1.1798182514960418,-1.351730717877271,israel_hamas_war,2023-10-07
2022-12-23,752,-3.2168547696913325,-24686.458362327638,6149.4846178544485,2.4803256855362807,5.697180455227614,0.2255020475480963,0.20335059477051476,3.2168547696913325,4.014394684499711,0.6541493307070998,0.6966892298408492,3.4496318419118444,-0.22730847667099122,-0.07816871475202142,-0.6998082904037414,-0.24422980604781466,-1.1284541579029699,israel_hamas_war,2023-10-07
2022-12-24,467,-2.616797209094964,-11780.090849885419,3737.980681299841,2.693722039242498,5.31051924833746,0.14003917048532044,0.13106262189095275,2.616797209094964,3.1514584622703357,0.3429643031809137,0.6634631637826436,3.4009567925040116,-0.8240705127114601,-0.8918325120788122,-0.8437341323602193,-0.9276419640762265,-1.2188085658876282,israel_hamas_war,2023-10-07
2022-12-25,611,-2.7113966275951875,-16940.790467833158,5234.641677579399,2.927969180129902,5.639365807725089,0.18322041363282823,0.16823988516693192,2.7113966275951875,3.2362846420591893,0.45616505726862083,0.6582403764670606,3.3756740196644173,-0.7299906355471237,-0.8118497859146327,-0.791377777134194,-1.0350671507959919,-1.2657404129000842,israel_hamas_war,2023-10-07
